manufacturerNormalized,radioModelPrefix,architecture,notes
MNI,PROTEUSAMTM4DS3,Unknown,
MNI,PROTEUSAMTM4DS38DS1,Unknown,
MNI,PROTEUSAMTM630192MB,Unknown,
MNI,PROTEUSAMTM6I1045,Unknown,
MNI,PROTEUSAMTM6I1045HP,Unknown,
MNI,PROTEUSAMTM6I1045MB,Unknown,
MNI,PROTEUSAMTM6I30134MB,Unknown,
MNI,PROTEUSAMTM6I30147MB,Unknown,
MNI,PROTEUSAMTM6I30155MB,Unknown,
MNI,PROTEUSAMTM6I30171MB,Unknown,
MNI,PROTEUSAMTM6I30192MB,Unknown,
MNI,PROTEUSAMTM6I37512,Unknown,
MNI,PROTEUSAMTM6I525MBPS,Unknown,
MNI,PROTEUSAMTM8DS1,Unknown,
MNI,PROTEUSAMTMHP,Unknown,
MNI,PROTEUSAMTMINDR,Unknown,
MNI,PROTEUSAMTMOC3,Unknown,
MNI,PROTEUSAMTMOC38DS1ODU,ODU,ODU is in the model
MNI,PROTEUSAMTMOC3IDU,IDU,IDU is in the model 
MNI,PROTEUSAMTMSERIES,Unknown,
MNI,PROTEUSAMTMSPLITMOUNT,ODU,Split is in the model 
MNI,PROTEUSMX,Unknown,Comsearch Frequency Coordination Database
MNI,PROTEUSMXALLINDOOR,IDU,IDU is in the model 
MNI,PROTEUSMXI6G,IDU,
MNI,PROTEUSMXIDU,IDU,IDU is in the model 
MNI,PROTEUSMXINDOOR,IDU,IDU is in the model 
ERICSSON,PT2C06LAAA030A2A,Unknown,
ERICSSON,PT2C06LAAA040B4A,Unknown,
ERICSSON,PT2C06LAAA050A2A,Unknown,
MNI,PTOTEUSAMTM,Unknown,
CAMBIUM,PTP06800I30MHZ256QHP,Unknown,
CAMBIUM,PTP11820CWIDEV2ACM,Unknown,
CAMBIUM,PTP11820IRFUAEV2,IDU,Comsearch Frequency Coordination Database
CAMBIUM,PTP18820S,ODU,Comsearch Frequency Coordination Database
LIGOWAVE,PTP620HP,Unknown,
LIGOWAVE,PTP620HP6,ODU,Comsearch Frequency Coordination Database
CAMBIUM,PTP6800I30MHZ256QHP,Unknown,
CAMBIUM,PTP6820C,ODU,
CAMBIUM,PTP6820IRFUAEV2,IDU,
CAMBIUM,PTP6820S,ODU,
CAMBIUM,PTP6L850CV2,ODU,Comsearch Frequency Coordination Database
CAMBIUM,PTP6L850CV2XPIC,ODU,Comsearch Frequency Coordination Database
MOTOROLA,PTP800,Unknown,
MOTOROLA,PTP8006,Unknown,
CAMBIUM,PTP8006GHZ30MHZAMR,Unknown,
MOTOROLA,PTP8006GHZ30MHZAMR,Unknown,
CAMBIUM,PTP800A,Unknown,
CAMBIUM,PTP820C,Unknown,
CAMBIUM,PTP820CLIGHT,Unknown,
CAMBIUM,PTP820CLIGHTFEC,Unknown,
CAMBIUM,PTP820CSTRONG,Unknown,
CAMBIUM,PTP820CSTRONGFEC,Unknown,
CAMBIUM,PTP820IIDU,IDU,IDU is in the model 
CAMBIUM,PTP820S,Unknown,
CAMBIUM,PTP820SLIGHT,Unknown,
CAMBIUM,PTP820SODU,ODU,ODU is in the model
CAMBIUM,PTP820SSTRONG,Unknown,
MOTOROLA,PTPL680,Unknown,
CAMBIUM,PTPL6800,ODU,Comsearch Frequency Coordination Database
CAMBIUM,PTPL680030MHZ256QAMR,Unknown,
CAMBIUM,PTPL6800A,Unknown,
CAMBIUM,PTPL6800A10MHZ128QAMR,Unknown,
CAMBIUM,PTPL6800A30MHZ256Q,Unknown,
CAMBIUM,PTPL6800A30MHZ256QAM,Unknown,
CAMBIUM,PTPL6800A30MHZ256QAMR,Unknown,
CAMBIUM,PTPL6800ACM,Unknown,
CAMBIUM,PTPL6800I,Unknown,
CAMBIUM,PTPL6800I10MHZ128QHP,Unknown,
CAMBIUM,PTPL6800IIRFUHP,Unknown,
CAMBIUM,PTPL6800IRFU,Unknown,
CAMBIUM,PTPL6810A,ODU,Comsearch Frequency Coordination Database
CAMBIUM,PTPL6810A30MHZ256QAM,Unknown,
CAMBIUM,PTPL6810A60MHZ256QAM,Unknown,
CAMBIUM,PTPL6810I,IDU,Comsearch Frequency Coordination Database
CAMBIUM,PTPL6820C,ODU,Comsearch Frequency Coordination Database
DRAGONWAVE,PTPL6820C,ODU,Comsearch Frequency Coordination Database
CAMBIUM,PTPL6820C,ODU,
CERAGON,PTPL6820C,ODU,Comsearch Frequency Coordination Database
CAMBIUM,PTPL6820FWITHRFUDHP,Unknown,Comsearch Frequency Coordination Database
CAMBIUM,PTPL6820FWITHRFUDV2A,Unknown,
CAMBIUM,PTPL6820G,Unknown,Comsearch Frequency Coordination Database
CAMBIUM,PTPL6820G,Unknown,
CAMBIUM,PTPL6820IRFUA,IDU,
CAMBIUM,PTPL6820S,ODU,Comsearch Frequency Coordination Database
CAMBIUM,PTPL6820S,ODU,
CAMBIUM,PTPL6850C,Unknown,
CAMBIUM,PTPL6850CV2,ODU,Comsearch Frequency Coordination Database
CAMBIUM,PTPL6850CV2ACM,Unknown,
CAMBIUM,PTPL68820S,Unknown,
CAMBIUM,PTPL820C,Unknown,
CAMBIUM,PTPTU6820IRFUAEPV2,IDU,
CAMBIUM,PTPU6800,ODU,Comsearch Frequency Coordination Database
MOTOROLA,PTPU6800,ODU,Comsearch Frequency Coordination Database
CAMBIUM,PTPU6800A30MHZ256QAM,Unknown,
CAMBIUM,PTPU6800A30MHZ256QAMR,Unknown,
CAMBIUM,PTPU6800A30MHZ64Q,Unknown,
CAMBIUM,PTPU6800I,Unknown,
CAMBIUM,PTPU6800I10MHZ128QH,Unknown,
CAMBIUM,PTPU6800I10MHZ128QHPAMR,Unknown,
CAMBIUM,PTPU6800I30MHZ256QHP,Unknown,
CAMBIUM,PTPU6800IRFU,Unknown,
CAMBIUM,PTPU680S,Unknown,
CAMBIUM,PTPU6810,Unknown,
CAMBIUM,PTPU6810A,ODU,Comsearch Frequency Coordination Database
CAMBIUM,PTPU68200SV2AMR,ODU,
CAMBIUM,PTPU6820C,ODU,Comsearch Frequency Coordination Database
CAMBIUM,PTPU6820C,ODU,
CAMBIUM,PTPU6820FWITHRFUDV2A,Unknown,
CAMBIUM,PTPU6820G,Unknown,Comsearch Frequency Coordination Database
CAMBIUM,PTPU6820GAE,IDU,Comsearch Frequency Coordination Database
CAMBIUM,PTPU6820G,Unknown,
CAMBIUM,PTPU6820I,IDU,
CAMBIUM,PTPU6820S,ODU,Comsearch Frequency Coordination Database
CAMBIUM,PTPU6820S,ODU,
TRANGO,PXG2NITRO60M1024Q,ODU,Comsearch Frequency Coordination Database
TRANGO,PXG2NITRO60M128Q,ODU,Comsearch Frequency Coordination Database
TRANGO,PXG2NITRO60M16Q,ODU,Comsearch Frequency Coordination Database
TRANGO,PXG2NITRO60M2048Q,ODU,Comsearch Frequency Coordination Database
TRANGO,PXG2NITRO60M256Q,ODU,Comsearch Frequency Coordination Database
TRANGO,PXG2NITRO60M32Q,ODU,Comsearch Frequency Coordination Database
TRANGO,PXG2NITRO60M4096Q,ODU,Comsearch Frequency Coordination Database
TRANGO,PXG2NITRO60M512Q,ODU,Comsearch Frequency Coordination Database
TRANGO,PXG2NITRO60M64Q,ODU,Comsearch Frequency Coordination Database
TRANGO,PXG2NITRO60MQPSK,ODU,Comsearch Frequency Coordination Database
TRANGO,PXG2NITRO6G30M1024Q2,Unknown,
TRANGO,PXG2NITRO6G30M128Q17,Unknown,
TRANGO,PXG2NITRO6G30M16Q98M,Unknown,
TRANGO,PXG2NITRO6G30M2048Q2,Unknown,
TRANGO,PXG2NITRO6G30M256Q20,Unknown,
TRANGO,PXG2NITRO6G30M32Q122,Unknown,
TRANGO,PXG2NITRO6G30M4096Q3,Unknown,
TRANGO,PXG2NITRO6G30M512Q22,Unknown,
TRANGO,PXG2NITRO6G30M64Q152,Unknown,
TRANGO,PXG2NITRO6G30MQPSK49,Unknown,
TRANGO,PXG2NITRO6GHZ,Unknown,
TRANGO,PXG2NITROODU,ODU,ODU is in the model
INFINET WIRELESS,R5000OMX,ODU,Comsearch Frequency Coordination Database
CERAGON,R61530HP,Unknown,
CERAGON,R61530T,Unknown,
CERAGON,R64410T,Unknown,
LIGOWAVE,RAPIDFIRE6256QAMAMR,Unknown,
NORTEL,RD6C,Unknown,
NORTEL,RD6C3,Unknown,
VARIOUS,REPEATER,Unknown,
REPEATER TECHNOLOGIES,RF6000,Unknown,
PENINSULA,RF600001,Unknown,
PENINSULA,RF6000E,Unknown,
REPEATER TECHNOLOGIES,RF6000E,Unknown,
PENINSULA,RF6000E01,Unknown,
PENINSULA,RF6000E21,Unknown,
PENINSULA,RF6000E41,Unknown,
PENINSULA,RF6000EEW,Unknown,
PENINSULA,RF6000EL,Unknown,
PENINSULA,RFENGINEERING,Unknown,
RF CENTRAL LLC,RFX6GL,Unknown,
RAYTHEON,RS641,Unknown,
RAYTHEON,RS642,Unknown,
HARRIS,RSCX06G28D1H,Unknown,
ZTE,S3406505,Unknown,
ZTE,S340L6307AMR,Unknown,
ZTE,S340U6307AMR,Unknown,
CABLE AML,SALINAS6G,Unknown,
CABLE AML,SALINASHPL6GACM,Unknown,
NEC,SF6P155S02A,Unknown,
STAR MICROWAVE,SIRIUSSHC,Unknown,
CIELO,SKILINKCG,Unknown,
CIELO,SKYLINK1506,Unknown,
CIELO,SKYLINK1506U,Unknown,
CIELO,SKYLINK150W6,Unknown,
CIELO,SKYLINK335W6,Unknown,
CIELO,SKYLINKAI,Unknown,
CIELO,SKYLINKAONDT61G60M,ODU,Comsearch Frequency Coordination Database
CIELO,SKYLINKCG,Unknown,
CIELO,SKYLINKCG2,Unknown,
CIELO,SKYLINKCG2XMFEC,Unknown,
CIELO,SKYLINKCG6C30128Q,Unknown,
CIELO,SKYLINKCG6LC30,Unknown,
CIELO,SKYLINKCG6LC30128Q,Unknown,
CIELO,SKYLINKCG6LC3016Q,Unknown,
CIELO,SKYLINKCG6LC30256Q,Unknown,
CIELO,SKYLINKCG6LC3032Q,Unknown,
CIELO,SKYLINKCG6LC3064Q,Unknown,
CIELO,SKYLINKCG6LC30QPSK,Unknown,
CIELO,SKYLINKCG6UC30,Unknown,
CIELO,SKYLINKCG6UC30128Q,Unknown,
CIELO,SKYLINKCG6UC3016Q,Unknown,
CIELO,SKYLINKCG6UC30256Q,Unknown,
CIELO,SKYLINKCG6UC3032Q,Unknown,
CIELO,SKYLINKCG6UC3064Q,Unknown,
CIELO,SKYLINKCG6UC30QPSK,Unknown,
CIELO,SKYLINKCGX6C30,Unknown,
CIELO,SKYLINKCGX6LC30,Unknown,
CIELO,SKYLINKCGX6LC30128Q,Unknown,
CIELO,SKYLINKCGX6LC3032Q,Unknown,
CIELO,SKYLINKCGX6LC3064Q,Unknown,
CIELO,SKYLINKCGX6UC30,Unknown,
CIELO,SKYLINKCGX6UC30128Q,Unknown,
CIELO,SKYLINKCGX6UC3016Q,Unknown,
CIELO,SKYLINKCGX6UC3032Q,Unknown,
CIELO,SKYLINKCGX6UC3064Q,Unknown,
CIELO,SKYLINKCGX6UC30QPSK,Unknown,
CIELO,SKYLINKGC,Unknown,
SOLECTEK,SKYWAYCML6GHZ128QAM,Unknown,
SOLECTEK,SKYWAYCML6GHZ256QAMAM,Unknown,
SOLECTEK,SKYWAYKML6GHZ4096QAMA,Unknown,
SOLECTEK,SKYWAYKML6GHZACM,Unknown,
STAR MICROWAVE,SMCIRIUSSHC,Unknown,
NEC,SONETSDH20006G150MBHP,Unknown,
TRANGO,SPARTAELITE6,Unknown,
FARINON,SS6000M02,Unknown,
HARRIS,SS6000M02,Unknown,
FARINON,SS6000W02,Unknown,
FARINON,SS6000X02,Unknown,
HARRIS,SS6000X02,Unknown,
FARINON,SS6000Y02,Unknown,
MOTOROLA,STARPOINT6000,Unknown,
ADVANTECH,T800L6G3032QAM6HC,Unknown,
ADVANTECH,T800L6G3032QAM7IH,Unknown,
ADVANTECH,T800L6G3064QAM6HC,Unknown,
NEC,TEC026,Unknown,
CALIFORNIA MICROWAVE,TELESTAR6GHZ8DS1,Unknown,
ALCATEL,TEX002,Unknown,
NEC,TEX026,Unknown,
ERICSSON,TN62XAHA030A2,ODU,
ERICSSON,TN6L2XA049Y4X,ODU,
ERICSSON,TN6L2XA099Y16X,ODU,
ERICSSON,TN6L2XA122Y32X,ODU,
ERICSSON,TN6L2XA147Y64X,ODU,
ERICSSON,TN6L2XA170Y128X,ODU,
ERICSSON,TN6L2XA194Y256X,ODU,
ERICSSON,TN6L2XA216Y512X,ODU,
ERICSSON,TN6L2XA239Y1024X,ODU,
ERICSSON,TN6L2XAA030A2C,ODU,
ERICSSON,TN6L2XAAA0100512A2AH,ODU,
ERICSSON,TN6L2XAAA0100512T2AH,ODU,
ERICSSON,TN6L2XAAA0300128T2A,ODU,
ERICSSON,TN6L2XAAA0300256T2A,ODU,
ERICSSON,TN6L2XAAA0301024A2AH,ODU,
ERICSSON,TN6L2XAAA030A0A,ODU,
ERICSSON,TN6L2XAAA030A2,ODU,
ERICSSON,TN6L2XAAA030A2A,ODU,
ERICSSON,TN6L2XAAA030A2AAMR,ODU,
ERICSSON,TN6L2XAAA030A2C,ODU,
ERICSSON,TN6L2XAHA030A2,ODU,
ERICSSON,TN6L63AAA0300064T2A,ODU,
ERICSSON,TN6L63AAA0300128T0A,ODU,
ERICSSON,TN6L63AAA0300128T2A,ODU,
ERICSSON,TN6L63AAA0300256T0A,ODU,
ERICSSON,TN6L63AAA0300256T2A,ODU,
ERICSSON,TN6L63AAA0300512T2A,ODU,
ERICSSON,TN6L63AAA030A0A,ODU,
ERICSSON,TN6L63AAA030A2A,ODU,
ERICSSON,TN6L666L63AAA030F7A,ODU,
ERICSSON,TN6U2XA049Y4X,ODU,
ERICSSON,TN6U2XA099Y16X,ODU,
ERICSSON,TN6U2XA122Y32X,ODU,
ERICSSON,TN6U2XA147Y64X,ODU,
ERICSSON,TN6U2XA170Y128X,ODU,
ERICSSON,TN6U2XA194Y256X,ODU,
ERICSSON,TN6U2XA216Y512X,ODU,
ERICSSON,TN6U2XA239Y1024X,ODU,
ERICSSON,TN6U2XAAA030A2C,ODU,
ERICSSON,TN6U2XAHA030A2,ODU,
ERICSSON,TN6U2XAHA030B7B,ODU,
ERICSSON,TN6U63AAA030A2A,ODU,
ERICSSON,TN6U666L63AAA030F7A,ODU,
NEC,TP6G150MB7900AB,Unknown,
NEC,TR600,Unknown,
NEC,TR6G,IDU,
TRANGO,TRAGONLINKGIGAPLUS6HP,Unknown,
TRANGO,TRANGOLINKAPEXPLUS6,Unknown,
TRANGO,TRANGOLINKAPEXPLUS6AMR,Unknown,
TRANGO,TRANGOLINKAPEXPLUSL6,Unknown,
TRANGO,TRANGOLINKAPEXPLUSL6AM,Unknown,
TRANGO,TRANGOLINKGIGA6,Unknown,
TRANGO,TRANGOLINKGIGALONGHAUL,Unknown,
TRANGO,TRANGOLINKGIGAORION6A,Unknown,
TRANGO,TRANGOLINKGIGAPLUS,ODU,Comsearch Frequency Coordination Database
TRANGO,TRANGOLINKGIGAPLUS6,Unknown,
TRANGO,TRANGOLINKGIGAPLUS6AMR,Unknown,
TRANGO,TRANGOLINKGIGAPLUS6HP,Unknown,
TRANGO,TRANGOLINKGIGAPLUS6HP30,Unknown,
TRANGO,TRANGOLINKGIGAPRO,Unknown,
TRANGO,TRANGOLINKGIGAPRO6,Unknown,
ALLGON MICROWAVE,TRANSCEND,Unknown,
ALLGON MICROWAVE,TRANSCEND100,Unknown,
AVIAT,TRE6V2HL630M1024Q230,Unknown,
NEC,TRGL6G101AHP,Unknown,
NEC,TROL6G155MB71A,Unknown,
NEC,TRP11G150MB6900AB,Unknown,
NEC,TRP150MB7900AB,Unknown,
NEC,TRP58GL6G201A,IDU,
NEC,TRP6G101A,Unknown,
NEC,TRP6G135MB,IDU,
NEC,TRP6G13MB72600A,IDU,
NEC,TRP6G150B7900AB,IDU,
NEC,TRP6G150BMB7900AB,IDU,
NEC,TRP6G150M7900AB,IDU,
NEC,TRP6G150MB,IDU,
NOKIA,TRP6G150MB,IDU,
NEC,TRP6G150MD7900AB,IDU,
NEC,TRP6G150MD7900DA,IDU,
NEC,TRP6G150MF79000AB,IDU,
NEC,TRP6G15MB7900AB,IDU,
NEC,TRP6G15OMB7900AB,IDU,
NEC,TRP6G1AA,Unknown,
NEC,TRP6G1B,Unknown,
NEC,TRP6G1D,ODU,Comsearch Frequency Coordination Database
NEC,TRP6G1E,ODU,Comsearch Frequency Coordination Database
NEC,TRP6G26MB72600A,Unknown,
NEC,TRP6G26MBY2600A,Unknown,
NEC,TRP6G2E,ODU,Comsearch Frequency Coordination Database
NEC,TRP6G52BM72600A,Unknown,
NEC,TRP6G52MB72600A,Unknown,
NEC,TRP6G5AA,ODU,Comsearch Frequency Coordination Database
NEC,TRP6G5B,ODU,Comsearch Frequency Coordination Database
NEC,TRP6G6AA,ODU,Comsearch Frequency Coordination Database
NEC,TRP6G90MB500A,Unknown,
COLLINS,TRP6G90MB500A,Unknown,
NEC,TRP6G9OMB500A,Unknown,
NEC,TRP6GP0MB600A,Unknown,
NEC,TRP6T150MB7900AB,Unknown,
NEC,TRPG150MB7900AB,Unknown,
NEC,TRPG613MB72600A,Unknown,
NEC,TRPGG150MB7900AB,Unknown,
NEC,TRPL6101AHPNLITENAMR,Unknown,
NEC,TRPL6G101A,IDU,
NEC,TRPL6G155MB71A,IDU,Comsearch Frequency Coordination Database
NEC,TRPL6G2E28M1024QEA,ODU,Comsearch Frequency Coordination Database
NEC,TRPL6G2E28M128QEA,ODU,Comsearch Frequency Coordination Database
NEC,TRPL6G2E28M16QEA,ODU,Comsearch Frequency Coordination Database
NEC,TRPL6G2E28M2048QEA,ODU,Comsearch Frequency Coordination Database
NEC,TRPL6G2E28M256QEA,ODU,Comsearch Frequency Coordination Database
NEC,TRPL6G2E28M32QEA,ODU,Comsearch Frequency Coordination Database
NEC,TRPL6G2E28M512QEA,ODU,Comsearch Frequency Coordination Database
NEC,TRPL6G2E28M64QEA,ODU,Comsearch Frequency Coordination Database
NEC,TRPL6G2E28MQPSKEA,ODU,Comsearch Frequency Coordination Database
NEC,TRPL6G2E30M1024QAV,ODU,Comsearch Frequency Coordination Database
NEC,TRPL6G2E30M1024QEH,ODU,Comsearch Frequency Coordination Database
NEC,TRPL6G2E30M128QAV,ODU,Comsearch Frequency Coordination Database
NEC,TRPL6G2E30M128QEH,ODU,Comsearch Frequency Coordination Database
NEC,TRPL6G2E30M16QAV,ODU,Comsearch Frequency Coordination Database
NEC,TRPL6G2E30M16QEH,ODU,Comsearch Frequency Coordination Database
NEC,TRPL6G2E30M2038QEH,Unknown,
NEC,TRPL6G2E30M2048QAV,ODU,Comsearch Frequency Coordination Database
NEC,TRPL6G2E30M2048QEH,ODU,Comsearch Frequency Coordination Database
NEC,TRPL6G2E30M256QAV,ODU,Comsearch Frequency Coordination Database
NEC,TRPL6G2E30M256QEH,ODU,Comsearch Frequency Coordination Database
NEC,TRPL6G2E30M32QAV,ODU,Comsearch Frequency Coordination Database
NEC,TRPL6G2E30M32QEH,ODU,Comsearch Frequency Coordination Database
NEC,TRPL6G2E30M4QAMEH,Unknown,
NEC,TRPL6G2E30M4QAV,ODU,Comsearch Frequency Coordination Database
NEC,TRPL6G2E30M512QAV,ODU,Comsearch Frequency Coordination Database
NEC,TRPL6G2E30M512QEH,ODU,Comsearch Frequency Coordination Database
NEC,TRPL6G2E30M64QAV,ODU,Comsearch Frequency Coordination Database
NEC,TRPL6G2E30M64QEH,ODU,Comsearch Frequency Coordination Database
NEC,TRPL6G2E30MQPSKEH,ODU,Comsearch Frequency Coordination Database
NEC,TRPL6G2EIPASOVREHHP,Unknown,
NEC,TRPL6G2F,IDU,Comsearch Frequency Coordination Database
NEC,TRPL6G900F,Unknown,
NEC,TRPL6G900F30M1024Q,IDU,Comsearch Frequency Coordination Database
NEC,TRPL6G900F30M1024QH,IDU,Comsearch Frequency Coordination Database
NEC,TRPL6G900F30M128Q,IDU,Comsearch Frequency Coordination Database
NEC,TRPL6G900F30M128QH,IDU,Comsearch Frequency Coordination Database
NEC,TRPL6G900F30M16Q,IDU,Comsearch Frequency Coordination Database
NEC,TRPL6G900F30M16QH,IDU,Comsearch Frequency Coordination Database
NEC,TRPL6G900F30M2048Q,IDU,Comsearch Frequency Coordination Database
NEC,TRPL6G900F30M2048QH,IDU,Comsearch Frequency Coordination Database
NEC,TRPL6G900F30M256Q,IDU,Comsearch Frequency Coordination Database
NEC,TRPL6G900F30M256QH,IDU,Comsearch Frequency Coordination Database
NEC,TRPL6G900F30M32Q,IDU,Comsearch Frequency Coordination Database
NEC,TRPL6G900F30M32QH,IDU,Comsearch Frequency Coordination Database
NEC,TRPL6G900F30M4QH,Unknown,
NEC,TRPL6G900F30M512Q,IDU,Comsearch Frequency Coordination Database
NEC,TRPL6G900F30M512QH,IDU,Comsearch Frequency Coordination Database
NEC,TRPL6G900F30M64Q,IDU,Comsearch Frequency Coordination Database
NEC,TRPL6G900F30M64QH,IDU,Comsearch Frequency Coordination Database
NEC,TRPL6G900F30MQPSK,IDU,Comsearch Frequency Coordination Database
NEC,TRPL6G900F30MQPSKH,IDU,Comsearch Frequency Coordination Database
NEC,TRPL6G900FACM,Unknown,
NEC,TRPL6G900FAMR,Unknown,
NEC,TRPL6GS01A,IDU,
NEC,TRPLG155MB71A,Unknown,
NEC,TRPLG6101A,Unknown,
NEC,TRPLG6155MB71A,Unknown,
NEC,TRPLG6900FAMR,Unknown,
HARRIS,TRPT52L63DS33DS1,Unknown,
NEC,TRPU6G101A,IDU,
NEC,TRPU6G102A,IDU,Comsearch Frequency Coordination Database
NEC,TRPU6G155MB7A1A,Unknown,
NEC,TRPU6G2AA,Unknown,Comsearch Frequency Coordination Database
NEC,TRPU6G2E10M1024QEA,ODU,Comsearch Frequency Coordination Database
NEC,TRPU6G2E10M1024QEH,ODU,Comsearch Frequency Coordination Database
NEC,TRPU6G2E10M128QEA,ODU,Comsearch Frequency Coordination Database
NEC,TRPU6G2E10M128QEH,ODU,Comsearch Frequency Coordination Database
NEC,TRPU6G2E10M16QEA,ODU,Comsearch Frequency Coordination Database
NEC,TRPU6G2E10M16QEH,ODU,Comsearch Frequency Coordination Database
NEC,TRPU6G2E10M256QEA,ODU,Comsearch Frequency Coordination Database
NEC,TRPU6G2E10M256QEH,ODU,Comsearch Frequency Coordination Database
NEC,TRPU6G2E10M32QEA,ODU,Comsearch Frequency Coordination Database
NEC,TRPU6G2E10M32QEH,ODU,Comsearch Frequency Coordination Database
NEC,TRPU6G2E10M512QEA,ODU,Comsearch Frequency Coordination Database
NEC,TRPU6G2E10M512QEH,ODU,Comsearch Frequency Coordination Database
NEC,TRPU6G2E10M64QEA,ODU,Comsearch Frequency Coordination Database
NEC,TRPU6G2E10M64QEH,ODU,Comsearch Frequency Coordination Database
NEC,TRPU6G2E10MQPSKEA,ODU,Comsearch Frequency Coordination Database
NEC,TRPU6G2E10MQPSKEH,ODU,Comsearch Frequency Coordination Database
NEC,TRPU6G2E30M1024QEH,ODU,Comsearch Frequency Coordination Database
NEC,TRPU6G2E30M128QEH,ODU,Comsearch Frequency Coordination Database
NEC,TRPU6G2E30M16QEH,ODU,Comsearch Frequency Coordination Database
NEC,TRPU6G2E30M2048QEH,ODU,Comsearch Frequency Coordination Database
NEC,TRPU6G2E30M256QEH,ODU,Comsearch Frequency Coordination Database
NEC,TRPU6G2E30M32QEH,ODU,Comsearch Frequency Coordination Database
NEC,TRPU6G2E30M512QEH,ODU,Comsearch Frequency Coordination Database
NEC,TRPU6G2E30M64QEH,ODU,Comsearch Frequency Coordination Database
NEC,TRPU6G2E30MQPSKEH,ODU,Comsearch Frequency Coordination Database
NEC,TRPU6G3AA,IDU,Comsearch Frequency Coordination Database
NEC,TRPU6G900F,Unknown,
NEC,TRPU6G900F30M1024QH,IDU,Comsearch Frequency Coordination Database
NEC,TRPU6G900F30M1024QS,IDU,Comsearch Frequency Coordination Database
NEC,TRPU6G900F30M128QH,IDU,Comsearch Frequency Coordination Database
NEC,TRPU6G900F30M128QS,IDU,Comsearch Frequency Coordination Database
NEC,TRPU6G900F30M16QH,IDU,Comsearch Frequency Coordination Database
NEC,TRPU6G900F30M16QS,IDU,Comsearch Frequency Coordination Database
NEC,TRPU6G900F30M2048QH,IDU,Comsearch Frequency Coordination Database
NEC,TRPU6G900F30M2048QS,IDU,Comsearch Frequency Coordination Database
NEC,TRPU6G900F30M256QH,IDU,Comsearch Frequency Coordination Database
NEC,TRPU6G900F30M256QS,IDU,Comsearch Frequency Coordination Database
NEC,TRPU6G900F30M32QH,IDU,Comsearch Frequency Coordination Database
NEC,TRPU6G900F30M32QS,IDU,Comsearch Frequency Coordination Database
NEC,TRPU6G900F30M512QH,IDU,Comsearch Frequency Coordination Database
NEC,TRPU6G900F30M512QS,IDU,Comsearch Frequency Coordination Database
NEC,TRPU6G900F30M64QH,IDU,Comsearch Frequency Coordination Database
NEC,TRPU6G900F30M64QS,IDU,Comsearch Frequency Coordination Database
NEC,TRPU6G900F30MQPSKH,IDU,Comsearch Frequency Coordination Database
NEC,TRPU6G900F30MQPSKS,IDU,Comsearch Frequency Coordination Database
NEC,TRPU6G900FACM,Unknown,
NEC,TRPU6GS01A,IDU,
NEC,TRPUG6101A,Unknown,
NEC,TRPUG63AA,Unknown,
HARRIS,TRUEPOINT5200,Unknown,
HARRIS,TRUEPOINT52006,Unknown,
HARRIS,TRUEPOINT5200DS3,Unknown,
HARRIS,TRUEPOINT5200DS3DS1,Unknown,
HARRIS,TRUEPOINT5200L6,Unknown,
HARRIS,TRUEPOINT5200U6,Unknown,
HARRIS,TRUEPOINT6GHZ,Unknown,
AVIAT,TRUEPT520016DS1,Unknown,
HARRIS,TRUEPT520016DS1,Unknown,
HARRIS,TRUEPT52008DS1,Unknown,
HARRIS,TRUPOINT5200U6,Unknown,
HARRIS,TRUWPT52008DS1,Unknown,
ERICSSON,TRX6L,IDU,
NEC,TTRP6G6AA,Unknown,
WESTERN MULTIPLEX,TWO6000,Unknown,
WESTERN MULTIPLEX,TWO600026001HZB26001,Unknown,
WESTERN MULTIPLEX,TWO600026011,Unknown,
WESTERN MULTIPLEX,TWO600026011HZB26001,Unknown,
WESTERN MULTIPLEX,TWO600026012HZB26001,Unknown,
WESTERN MULTIPLEX,TWO6000HZB26000,Unknown,
WESTERN MULTIPLEX,TWO6000HZB26001,Unknown,
Gabriel Electronics,UCC859BSELF,Unknown,
Gabriel Electronics,UCC859BSERF,Unknown,
COMMSCOPE,UHX659HR,Unknown,
COMMSCOPE,UHX659KLF,Unknown,
COMMSCOPE,UHX659KRF,Unknown,
COMMSCOPE,UHX659LRF,Unknown,
COMMSCOPE,UHX859H,Unknown,
COMMSCOPE,UHX859WARF,Unknown,
COMMSCOPE,UHX859WRF,Unknown,
UNKNOWN,UNKNOWN,Unknown,
AT&T TECHNOLOGIES,USR12P3J23C,Unknown,
NOKIA,USX66W,Unknown,
COMMSCOPE,USX86W,Unknown,
MDS,UT10C,Unknown,
Cablewave Systems,UXA659RF,Unknown,
ALCATEL,V95MPR61H16A3091,IDU,
ALCATEL,V95MPR67L32A1037HAC,IDU,
AVIAT,VHLP36W,Unknown,
COMMSCOPE,VHLP36W,Unknown,
COMMSCOPE,VHLP46W,Unknown,
ERICSSON,VLTN6L2X165T128X,Unknown,
NEC,VREC2L6GEH30MA1N64AT,Unknown,
NEC,VRIAPL6GEH10MAMR,Unknown,
NEC,VRIAPU6GEH10MAMR,Unknown,
NOKIA,VWCE61L2512F30S206,Unknown,
ATH SYSTEM,WAVEFORMHS,Unknown,
NOKIA,WAVENCEMPTHLC,IDU,
NOKIA,WAVENCEMPTHLCSP,IDU,
