manufacturer,antennaModel,standardModel,diameter_ft,diameter_m,gain_dBi,notes
DragonWave,A-ANT-L6G-6-C,AANTL6G6C,6,1.83,38.5,https://www.scribd.com/document/348184480/Andrew-Antenna-Specs
DRAGONWAVE,A-ANT-L6G-72-C,AANTL6G72C,6,1.83,38.5,https://www.scribd.com/document/348184480/Andrew-Antenna-Specs
DRAGONWAVE,A-ANT-L6G-72-C-A,AANTL6G72CA,6,1.83,38.5,https://www.scribd.com/document/348184480/Andrew-Antenna-Specs
DRAGONWAVE,A-ANT-L6G-72-C-R,AANTL6G72CR,6,1.83,38.5,https://www.scribd.com/document/348184480/Andrew-Antenna-Specs
DRAGONWAVE,A-ANT_L6G-96-W-A,AANTL6G96WA,8,2.44,41.5,https://www.scribd.com/document/348184480/Andrew-Antenna-Specs
DRAGONWAVE,A-ANT-L6G-96-W-A,AANTL6G96WA,8,2.44,41.5,https://www.scribd.com/document/348184480/Andrew-Antenna-Specs
DRAGONWAVE,A-ANT-L6G-96-W-R,AANTL6G96WR,8,2.44,41.5,https://www.scribd.com/document/348184480/Andrew-Antenna-Specs
DRAGONWAVE,A-ANT-U6G-72,AANTU6G72,6,1.83,39.8,https://www.scribd.com/document/348184480/Andrew-Antenna-Specs
DRAGONWAVE,A-ANT-U6G-72-C,AANTU6G72C,6,1.83,39.8,https://www.scribd.com/document/348184480/Andrew-Antenna-Specs
DRAGONWAVE,A-ANT-U6G-72-C-A,AANTU6G72CA,6,1.83,39.8,https://www.scribd.com/document/348184480/Andrew-Antenna-Specs
DRAGONWAVE,A-ANY-06G-48-C-A,AANY06G48CA,4,1.22,35,https://www.scribd.com/document/348184480/Andrew-Antenna-Specs
TRANGO,AD6G-3,AD6G3,3.35,1.02,32.5,https://www.gotrango.com/wp-content/uploads/support/documents/datasheets/DS-1001_Rev_D_Trango-Antenna.pdf
TRANGO,AD6G-3T2,AD6G3T2,3.35,1.02,32.5,https://www.gotrango.com/wp-content/uploads/support/documents/datasheets/DS-1001_Rev_D_Trango-Antenna.pdf
TRANGO,AD6G-3-T2,AD6G3T2,3.35,1.02,32.5,https://www.gotrango.com/wp-content/uploads/support/documents/datasheets/DS-1001_Rev_D_Trango-Antenna.pdf
TRANGO,AD6G-4-T2,AD6G4T2,4,1.22,35.6,https://www.gotrango.com/wp-content/uploads/support/documents/datasheets/DS-1001_Rev_D_Trango-Antenna.pdf
TRANGO,AD6G-6-T2,AD6G6T2,6,1.83,39.4,https://www.gotrango.com/wp-content/uploads/support/documents/datasheets/DS-1001_Rev_D_Trango-Antenna.pdf
TRANGO,AD6G-6-T2CATA,AD6G6T2CATA,6,1.83,39.4,https://www.gotrango.com/wp-content/uploads/support/documents/datasheets/DS-1001_Rev_D_Trango-Antenna.pdf
TRANGO,AD6GU-8-T2,AD6GU8T2,8,2.44,42,Comsearch's Frequency Coordination Database
ALCOMA,AL3-6,AL36,3,0.91,33.1,http://www.al-wireless.com/media/document/brochure-en-al3-06mpr-130301.pdf
ALCOMA,AL3-6/MPR,AL36MPR,3,0.91,33.1,http://www.al-wireless.com/media/document/brochure-en-al3-06mpr-130301.pdf
ALCOMA,AL3-6_MPR,AL36MPR,3,0.91,33.1,http://www.al-wireless.com/media/document/brochure-en-al3-06mpr-130301.pdf
ALCOMA,AL4-6/MPR,AL46MPR,4,1.22,35.6,http://www.al-wireless.com/media/document/brochure-en-al4-06mpr-130301.pdf
HUAWEI,AL6D24HS,AL6D24HS,8,2.44,41,https://fccid.io/ANATEL/03790-14-03257/AL6D24HS/C830E611-6064-4969-9403-B4F0A121FE9B/PDF
CERAGON,AM-3-6-A,AM36A,3,0.91,33.5,https://www.sicetelecom.it/wp-content/MU/datasheet/Ceragon-Ceragon-Antennas-Parabola-90cm-11GHz-perDISH90-11-C2-SC-SICE-Distributore-Italiano.pdf
CERAGON,AM-4-6-A,AM46A,4,1.22,35.8,https://www.sociustechnology.com.au/WebRoot/ecshared01/Shops/sociustec/57E4/CD3A/D46A/003C/50E6/AC10/003F/EB59/Ceragon_am-4-freq-circ-cr1_doc-00049561_reva_00.pdf
CERAGON,AM-4-6-R,AM46R,4,1.22,35.8,https://www.sociustechnology.com.au/WebRoot/ecshared01/Shops/sociustec/57E4/CD3A/D46A/003C/50E6/AC10/003F/EB59/Ceragon_am-4-freq-circ-cr1_doc-00049561_reva_00.pdf
CERAGON,AM-4-6-RW,AM46RW,4,1.22,36.5,https://www.sociustechnology.com.au/WebRoot/ecshared01/Shops/sociustec/57E4/CD3A/D46A/003C/50E6/AC10/003F/EB59/Ceragon_am-4-freq-circ-cr1_doc-00049561_reva_00.pdf
ERICSSON,ANT0 1.2 6L HPX,ANT0126LHPX,4,1.22,35.8,https://fccid.io/ANATEL/01164-10-01882/Manual/6B919BD1-C385-4160-AEA5-A11D16F3B516/PDF
ERICSSON,ANT01.26UHPX,ANT0126UHPX,4,1.22,35.8,https://fccid.io/ANATEL/01164-10-01882/Manual/6B919BD1-C385-4160-AEA5-A11D16F3B516/PDF
ERICSSON,ANT0 1.8 6L HPX,ANT0186LHPX,6,1.83,39.3,https://fccid.io/ANATEL/01164-10-01882/Manual/6B919BD1-C385-4160-AEA5-A11D16F3B516/PDF
ERICSSON,ANT0 2.4 6L HPX,ANT0246LHPX,8,2.44,42.1,https://fccid.io/ANATEL/01164-10-01882/Manual/6B919BD1-C385-4160-AEA5-A11D16F3B516/PDF
ERICSSON,ANT0 2.4 6U HPX,ANT0246UHPX,8,2.44,42.1,https://fccid.io/ANATEL/01164-10-01882/Manual/6B919BD1-C385-4160-AEA5-A11D16F3B516/PDF
ERICSSON,ANT0B3.06LHPX,ANT0B306LHPX,10,3.05,43.5,https://fccid.io/ANATEL/01164-10-01882/Manual/6B919BD1-C385-4160-AEA5-A11D16F3B516/PDF
ERICSSON,ANT2 1.2 6L HPX,ANT2126LHPX,4,1.22,35.8,https://fccid.io/ANATEL/01164-10-01882/Manual/6B919BD1-C385-4160-AEA5-A11D16F3B516/PDF
ERICSSON,ANT2 1.8 6L HP,ANT2186LHP,6,1.83,39.3,https://fccid.io/ANATEL/01164-10-01882/Manual/6B919BD1-C385-4160-AEA5-A11D16F3B516/PDF
ERICSSON,ANT2 1.8 6L HPX,ANT2186LHPX,6,1.83,39.3,https://fccid.io/ANATEL/01164-10-01882/Manual/6B919BD1-C385-4160-AEA5-A11D16F3B516/PDF
ERICSSON,ANT2 1.8 6U HPX,ANT2186UHPX,6,1.83,39.3,https://fccid.io/ANATEL/01164-10-01882/Manual/6B919BD1-C385-4160-AEA5-A11D16F3B516/PDF
Ericsson,ANT2 A 1.8 6L HPX,ANT2A186LHPX,6,1.83,39.3,https://fccid.io/ANATEL/01164-10-01882/Manual/6B919BD1-C385-4160-AEA5-A11D16F3B516/PDF
ERICSSON,ANT3 A 1.2 6L HP,ANT3A126LHP,4,1.22,35.8,https://fccid.io/ANATEL/01164-10-01882/Manual/6B919BD1-C385-4160-AEA5-A11D16F3B516/PDF
ERICSSON,ANT3_A_1.2_6L_HP,ANT3A126LHP,4,1.22,35.8,https://fccid.io/ANATEL/01164-10-01882/Manual/6B919BD1-C385-4160-AEA5-A11D16F3B516/PDF
ERICSSON,ANT3 A 1.8 6L HP,ANT3A186LHP,6,1.83,39.3,https://fccid.io/ANATEL/01164-10-01882/Manual/6B919BD1-C385-4160-AEA5-A11D16F3B516/PDF
ERICSSON,ANT3_A_1.8_6L_HP,ANT3A186LHP,6,1.83,39.3,https://fccid.io/ANATEL/01164-10-01882/Manual/6B919BD1-C385-4160-AEA5-A11D16F3B516/PDF
ARC WIRELESS,ARC-UHP-MW-6-4,ARCUHPMW64,4,1.22,36.2,Comsearch's Frequency Coordination Database
HUAWEI,AU6D24HS,AU6D24HS,8,2.44,41.8,https://fccid.io/ANATEL/03789-14-03257/AU6D24HS/87065A42-DA7D-402F-AD09-25D5F1505FBD/PDF
Ericsson,BFZ 622 55/3D01H,BFZ622553D01H,6,1.83,39.3,http://storage.mtender.gov.md/get/f7291f5a-ceb2-4ed0-a95d-d47694abcbe0-1570511924257
